id,question,answer
200,User cant login or forgot password,Please use the “Forgot Password” link in the “Login” area to reset your password.
206,User wants Delete Account,"In order to ensure that the sender of this request is the account holder we request that the account holder login to their account and delete their account in the ""My Account"" section. To delete your account please navigate to the ""My Account"" area and choose ""delete my account"". "
210,User wants to change account email,"To change your email please navigate to the ""My Account"" area and click on ""change email address"". "
264,Change payment method (Check if they pay via Segpay),"If you paid using Segpay, Please navigate to our processors consumer portal here: https://cs.segpay.com/"
290,Pricing,"For information about pricing and our pricing plans please press the ""upgrade"" button in the menu to see all plans available."
306,How to change state filter,Apologies but there is no way to adjust someone's state. We currently only offer country selection in the chat.
310,What is the name of your other website for adults that don't mind nudity,We are not able to recommend any other sites. We apologize for the inconvenience.
312, How to turn on and off translator,To change this setting please navigate to the settings icon and you will be able to adjust it there.
330,Swipe Feature,You can connect to a partner via video chat in just a couple of clicks. You also have the option to make a new connection just by clicking on the “Next” button and you will connect with a new partner.
424,crypto Cancellation,We currently do not offer subscriptions for crypto payments.
254,General Settings Change,To change this setting please navigate to the settings icon and you will be able to adjust it there.
318,Nobody appear on cam I click start and the hearth is flashing but nothing happen:,"I'm sorry to hear you are experiencing this issue. Kindly reset your browser, clear cache, cookies and restart."
332,How can I use the private chat function? ,"You can use ""start private chat"" button to start a private chat. "
334,Users complaining/reporting IA or Nudity,"We do not tolerate any illegal activity on our platform and promptly ban any reported users that violate our AUP and report such cases to law enforcement. We ask our users to help us by reporting such instances so we can promptly remove and ban such users from our platform. If you believe that you were banned by mistake, you can appeal the decision in most cases if this option is available on the ban dialog. "
336,Want/Can't connect to a Specific Country,If a country is not showing that means there are not enough users online at the moment to connect with in that country.
228,No Refund Due,As stated in our terms: Payments are nonrefundable
216,User was banned for underage,"You have been banned for being underage, If you believe that you were banned by mistake, you can appeal the decision in most cases if this option is available on the ban dialog. "
352,Users Asking if the will get Banned on Public ,We cannot advise users on personal actions. Please refer to our acceptable use policy for details.
326,For how long are the materials(personal and sensitive data) saved on your website?:,For this information if you can please refer to our privacy policy it has all the information regarding personal data collection and storage.
242,Can't Hear Other People Complaint,"This can happen for various reasons:1. Your sound settings may need adjustment.  You can do a sound test here: https://www.onlinemictest.com/sound-test/2. The other person has their mic disabled.If issue still persist, please reset your browser, clear cache, cookies and restart. "
282,Billing Support Escalation,We will need to have our Billing Support Team check on this issue
150,Cant log into account,Thank you for contacting us. We would love to help you solve the problem you’re having. Have you tried resetting your password? Most of the time that should resolve the problem.
232,Gender Filter,If you would like to chat with a specific gender only you can use the gender filter on the chat.
244,Webcam Issues,"This can happen for various reasons:1. Your denied permission for webcam on our site2. Your webcam is not working with browser. For this please do a webcam test to find the issue: https://www.onlinemictest.com/webcam-test/If issue still persist, please reset your browser, clear cache, cookies and restart."
246,How to change the Auto Message Settings,To change this setting please navigate to the settings icon and you will be able to adjust your intro message setting there.
252,Back Button Feature,The way the back button feature works is it can only be used once per connection.
